zone_id,state_code,state_ut,zone_name,center_latitude,center_longitude,zone_level,source_type
AN_Z00,AN,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 01,12.341534373333333,92.34465181333333,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AN_Z01,AN,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 02,12.312601453125,92.192527375,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AN_Z02,AN,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 03,11.76400485,92.7304479625,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AN_Z03,AN,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 04,11.720256898305085,92.58716620338983,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AN_Z04,AN,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 05,11.455716818181818,93.43169403896104,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AN_Z05,AN,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 06,11.452600032258065,93.28175593548387,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AN_Z06,AN,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 07,11.065440641791044,91.89387723880597,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AN_Z07,AN,Andaman and Nicobar Islands,Andaman and Nicobar Islands Zone 08,11.021878402777778,92.0225905,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AP_Z00,AP,Andhra Pradesh,Andhra Pradesh Zone 01,16.533494169014084,79.28043404225352,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AP_Z01,AP,Andhra Pradesh,Andhra Pradesh Zone 02,16.49344570588235,79.41793857352941,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AP_Z02,AP,Andhra Pradesh,Andhra Pradesh Zone 03,15.925738492537313,79.8151942238806,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AP_Z03,AP,Andhra Pradesh,Andhra Pradesh Zone 04,15.887835208333334,79.68459080555556,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AP_Z04,AP,Andhra Pradesh,Andhra Pradesh Zone 05,15.608764043478262,80.37836772463768,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AP_Z05,AP,Andhra Pradesh,Andhra Pradesh Zone 06,15.601465728571428,80.52578237142858,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AP_Z06,AP,Andhra Pradesh,Andhra Pradesh Zone 07,15.203684076923077,79.11435178461538,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AP_Z07,AP,Andhra Pradesh,Andhra Pradesh Zone 08,15.198955527027026,78.9672352972973,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AR_Z00,AR,Arunachal Pradesh,Arunachal Pradesh Zone 01,27.698607094594596,93.15280313513513,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AR_Z01,AR,Arunachal Pradesh,Arunachal Pradesh Zone 02,27.68423852307692,93.29563486153846,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AR_Z02,AR,Arunachal Pradesh,Arunachal Pradesh Zone 03,27.120989,93.52780991935484,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AR_Z03,AR,Arunachal Pradesh,Arunachal Pradesh Zone 04,27.090703363636365,93.6673049090909,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AR_Z04,AR,Arunachal Pradesh,Arunachal Pradesh Zone 05,26.848157214285713,94.25563552857143,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AR_Z05,AR,Arunachal Pradesh,Arunachal Pradesh Zone 06,26.763208985507248,94.36246305797101,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
AR_Z06,AR,Arunachal Pradesh,Arunachal Pradesh Zone 07,26.441694216867468,92.88153269879518,SYNTHETIC_SUBZONE,SYNTHETIC_PROTOTYPE
